"fips","dem_amount","rep_amount"
55011,9696.08879866274,6196.30345641964
55013,11469.2282052481,7329.4314693617
55015,37270.1551558758,23817.5614940222
55017,48110.6369076767,30745.1913809516
55019,25874.5907362979,16535.2050029573
55021,42808.3324967128,27356.7439532449
55023,12002.7325923742,7670.36843339001
55025,406784.073807454,259956.113737037
55027,65359.1239341368,41767.868874871
55029,20587.1678981967,13156.2676718762
55031,32106.9934511778,20518.033469765
55033,33757.3598816462,21572.7031855457
55035,77864.8536892688,49759.6785742068
55037,3195.81777225512,2042.29325035088
55039,76939.9639358548,49168.6260689249
55041,6699.6841027672,4281.445500852
55043,38274.661324105,24459.4930162512
55045,27501.1466501861,17574.658564137
55047,14072.7593775695,8993.22287401309
55049,17618.294112097,11259.0033950659
55051,4231.57524349589,2704.19597549371
55053,15360.0154301892,9815.84623212882
55055,63074.8024997193,40308.0690428391
55057,19857.2267492834,12689.7974323898
55059,126166.718808231,80627.0746967977
55061,15204.5029937744,9716.46572239113
55063,87813.1851479535,56117.1781684307
55065,12400.0705878071,7924.28801329394
55067,14278.1250830742,9124.46220744658
55069,20531.3619999617,13120.6048095301
55071,58768.075313267,37555.847079386
55073,100965.519243968,64522.2015661495
55075,30023.5732504061,19186.6199421788
55077,11588.2807881493,7405.51224236662
55078,3390.02229811277,2166.40001131516
55079,703694.518855354,449697.282067832
55081,34415.8694808186,21993.5249612292
55083,28222.9029340248,18035.8982504794
55085,26485.4793023099,16925.5944694388
55087,139801.215864995,89340.2252251864
55089,66387.4406189462,42425.0165517011
55091,5422.10107250828,3465.00370554293
55093,31812.3383084972,20329.7335565778
55095,32577.9952322808,20819.0280279657
55097,52659.9337317903,33652.4279194022
55099,9934.19396446522,6348.46500242948
55101,146070.822512031,93346.8289335581
55103,12836.844751326,8203.40934925574
55105,121548.222670306,77675.616209038
55107,10549.547002336,6741.70749789867
55109,67478.2599097788,43122.1066343587
55111,47949.9159207601,30642.482337395
55113,12320.4541729919,7873.40899634689
55115,30432.072425486,19447.672094552
55117,85822.0306989303,54844.7272399233
55119,15136.7918372493,9673.19478274459
55121,22061.1876902426,14098.2427426434
55123,22933.9919386373,14656.0099097357
55125,16514.8254843312,10553.8297302766
55127,77285.9605049115,49389.7358154704
55129,11696.9162700467,7474.93594773361
55131,101219.994139919,64684.8242184475
55133,300755.099396967,192198.101794022
55135,37940.5700133384,24245.9913470062
55137,18187.5142740936,11622.7645909957
55139,127912.32730502,81742.6090309823
55141,54316.9968700469,34711.3771786645
47001,48699.9194344211,52939.3127850425
47003,31450.7923672137,34188.6260552732
47005,10223.5794390637,11113.5557510755
47007,9530.19806126581,10359.8145937005
47009,84197.7562120116,91527.2838984611
47011,68395.4933884391,74349.4128866812
47013,25205.9314363351,27400.1415986602
47015,9285.99622565451,10094.3546605375
47017,17566.7159829506,19095.9221868881
47019,35675.6106527377,38781.220443001
47021,25727.8654114111,27967.5106267937
47023,10942.8993538047,11895.4934298485
47025,20218.773223579,21978.8445698404
47027,4817.60875176176,5236.98805968067
47029,22777.8313195575,24760.6721077798
47031,35757.2221470223,38869.9363274001
47033,9002.5702610072,9786.25608526013
47035,38287.8111170875,41620.8164638049
47037,439148.287509247,477376.735351146
47039,7378.56478946781,8020.87875772234
47041,12962.9419991593,14091.3834987337
47043,34130.0534392703,37101.1203996918
47045,23508.5388846638,25554.9887471666
47047,26022.6790264237,28287.9881626848
47049,11718.5248731297,12738.6381916566
47051,26702.7748121287,29027.2871993436
47053,31083.8569665542,33789.7484354945
47055,18640.3183535008,20262.9830847579
47057,14753.3336954805,16037.6311952401
